name,value
symbol_id,OKCOIN_CNY_SPOT_BTC_CNY
asset_id_base,BTC
symbol_id,HUOBI_SPOT_BTC_CNY
asset_id_base,BTC
symbol_id,OKCOIN_CNY_SPOT_LTC_CNY
asset_id_base,LTC
symbol_id,BTCCHINA_SPOT_BTC_CNY
asset_id_base,BTC
symbol_id,HUOBI_SPOT_LTC_CNY
asset_id_base,LTC
symbol_id,COINCHECK_SPOT_BTC_JPY
asset_id_base,BTC
symbol_id,BITFINEX_SPOT_BTC_USD
asset_id_base,BTC
symbol_id,COINBASE_SPOT_BTC_USD
asset_id_base,BTC
symbol_id,BTC-E_SPOT_BTC_USD
asset_id_base,BTC
symbol_id,COINBASE_SPOT_ETH_USD
asset_id_base,ETH
symbol_id,CHBTC_SPOT_BTC_CNY
asset_id_base,BTC
symbol_id,COINBASE_SPOT_LTC_USD
asset_id_base,LTC
symbol_id,BINANCE_SPOT_ETH_BTC
asset_id_base,ETH
symbol_id,POLONIEX_SPOT_ETH_BTC
asset_id_base,ETH
symbol_id,BITSTAMP_SPOT_BTC_USD
asset_id_base,BTC
symbol_id,KRAKEN_SPOT_BTC_EUR
asset_id_base,BTC
symbol_id,BINANCE_SPOT_BTC_USDT
asset_id_base,BTC
symbol_id,BITFINEX_SPOT_ETH_USD
asset_id_base,ETH
symbol_id,BTCTRADE_SPOT_BTC_CNY
asset_id_base,BTC
symbol_id,BITHUMB_SPOT_BTC_KRW
asset_id_base,BTC
symbol_id,POLONIEX_SPOT_BTC_USDT
asset_id_base,BTC
symbol_id,KRAKEN_SPOT_ETH_EUR
asset_id_base,ETH
symbol_id,BITHUMB_SPOT_XRP_KRW
asset_id_base,XRP
symbol_id,POLONIEX_SPOT_XRP_BTC
asset_id_base,XRP
symbol_id,BITHUMB_SPOT_BCH_KRW
asset_id_base,BCH
symbol_id,BINANCE_SPOT_TRX_BTC
asset_id_base,TRX
symbol_id,BINANCE_SPOT_ETH_USDT
asset_id_base,ETH
symbol_id,COINBASE_SPOT_BTC_EUR
asset_id_base,BTC
symbol_id,BITFINEX_SPOT_LTC_USD
asset_id_base,LTC
symbol_id,OKCOIN_USD_SPOT_BTC_USD
asset_id_base,BTC
symbol_id,BITFLYER_SPOT_BTC_JPY
asset_id_base,BTC
symbol_id,BITHUMB_SPOT_ETH_KRW
asset_id_base,ETH
symbol_id,COINONE_SPOT_BTC_KRW
asset_id_base,BTC
symbol_id,COINONE_SPOT_ETC_KRW
asset_id_base,ETC
symbol_id,BINANCE_SPOT_XRP_BTC
asset_id_base,XRP
symbol_id,BITHUMB_SPOT_ETC_KRW
asset_id_base,ETC
symbol_id,COINONE_SPOT_XRP_KRW
asset_id_base,XRP
symbol_id,BITTREX_SPOT_ETH_BTC
asset_id_base,ETH
symbol_id,BITFINEX_SPOT_XRP_USD
asset_id_base,XRP
symbol_id,POLONIEX_SPOT_LTC_BTC
asset_id_base,LTC
symbol_id,BITFINEX_SPOT_ETH_BTC
asset_id_base,ETH
symbol_id,BITFINEX_SPOT_IOTA_USD
asset_id_base,IOTA
symbol_id,KRAKEN_SPOT_BTC_USD
asset_id_base,BTC
symbol_id,KRAKEN_SPOT_ETH_USD
asset_id_base,ETH
symbol_id,POLONIEX_SPOT_XMR_BTC
asset_id_base,XMR
symbol_id,CHBTC_SPOT_LTC_CNY
asset_id_base,LTC
symbol_id,BITTREX_SPOT_XRP_BTC
asset_id_base,XRP
symbol_id,POLONIEX_SPOT_STR_BTC
asset_id_base,STR
symbol_id,BTC-E_SPOT_LTC_USD
asset_id_base,LTC
symbol_id,COINONE_SPOT_BCH_KRW
asset_id_base,BCH
symbol_id,KRAKEN_SPOT_ETH_BTC
asset_id_base,ETH
symbol_id,COINONE_SPOT_ETH_KRW
asset_id_base,ETH
symbol_id,MTGOX_SPOT_BTC_USD
asset_id_base,BTC
symbol_id,BTC-E_SPOT_LTC_BTC
asset_id_base,LTC
symbol_id,OKCOIN_USD_SPOT_LTC_USD
asset_id_base,LTC
symbol_id,BINANCE_SPOT_TRX_ETH
asset_id_base,TRX
symbol_id,BITFINEX_SPOT_BCH_USD
asset_id_base,BCH
symbol_id,COINONE_SPOT_QTUM_KRW
asset_id_base,QTUM
symbol_id,BITTREX_SPOT_BTC_USDT
asset_id_base,BTC
symbol_id,BINANCE_SPOT_XVG_BTC
asset_id_base,XVG
symbol_id,BITHUMB_SPOT_LTC_KRW
asset_id_base,LTC
symbol_id,BITTREX_SPOT_NEO_BTC
asset_id_base,NEO
symbol_id,BITTREX_SPOT_LTC_BTC
asset_id_base,LTC
symbol_id,ZAIF_SPOT_BTC_JPY
asset_id_base,BTC
symbol_id,POLONIEX_SPOT_ETH_USDT
asset_id_base,ETH
symbol_id,BITTREX_SPOT_XVG_BTC
asset_id_base,XVG
symbol_id,POLONIEX_SPOT_ETC_BTC
asset_id_base,ETC
symbol_id,POLONIEX_SPOT_DASH_BTC
asset_id_base,DASH
symbol_id,BITFINEX_SPOT_LTC_BTC
asset_id_base,LTC
symbol_id,BINANCE_SPOT_BNB_BTC
asset_id_base,BNB
symbol_id,BITFINEX_SPOT_ETC_USD
asset_id_base,ETC
symbol_id,LAKEBTC_SPOT_BTC_USD
asset_id_base,BTC
symbol_id,BINANCE_SPOT_NEO_BTC
asset_id_base,NEO
symbol_id,BITTREX_SPOT_BCC_BTC
asset_id_base,BCC
symbol_id,POLONIEX_SPOT_ZEC_BTC
asset_id_base,ZEC
symbol_id,BINANCE_SPOT_LTC_BTC
asset_id_base,LTC
symbol_id,BINANCE_SPOT_ADA_BTC
asset_id_base,ADA
symbol_id,BITTREX_SPOT_XLM_BTC
asset_id_base,XLM
symbol_id,BITFINEX_SPOT_EOS_USD
asset_id_base,EOS
symbol_id,POLONIEX_SPOT_BTS_BTC
asset_id_base,BTS
symbol_id,KORBIT_SPOT_BTC_KRW
asset_id_base,BTC
symbol_id,KRAKEN_SPOT_XRP_EUR
asset_id_base,XRP
symbol_id,BITSTAMP_SPOT_BTC_EUR
asset_id_base,BTC
symbol_id,BITFINEX_SPOT_IOTA_BTC
asset_id_base,IOTA
symbol_id,BITTREX_SPOT_SC_BTC
asset_id_base,SC
symbol_id,BINANCE_SPOT_VEN_BTC
asset_id_base,VEN
symbol_id,BITFINEX_SPOT_BCH_BTC
asset_id_base,BCH
symbol_id,BINANCE_SPOT_ICX_BTC
asset_id_base,ICX
symbol_id,BITTREX_SPOT_OMG_BTC
asset_id_base,OMG
symbol_id,BITTREX_SPOT_ADA_BTC
asset_id_base,ADA
symbol_id,BINANCE_SPOT_XRP_ETH
asset_id_base,XRP
symbol_id,BINANCE_SPOT_XLM_BTC
asset_id_base,XLM
symbol_id,BINANCE_SPOT_EOS_BTC
asset_id_base,EOS
symbol_id,POLONIEX_SPOT_XEM_BTC
asset_id_base,XEM
symbol_id,GEMINI_SPOT_BTC_USD
asset_id_base,BTC
symbol_id,BITFINEX_SPOT_OMG_USD
asset_id_base,OMG
symbol_id,BITSTAMP_SPOT_XRP_USD
asset_id_base,XRP
symbol_id,COINBASE_SPOT_ETH_BTC
asset_id_base,ETH
symbol_id,POLONIEX_SPOT_XRP_USDT
asset_id_base,XRP
symbol_id,BINANCE_SPOT_NEO_USDT
asset_id_base,NEO
symbol_id,KRAKEN_SPOT_USDT_USD
asset_id_base,USDT
symbol_id,KRAKEN_SPOT_LTC_EUR
asset_id_base,LTC
symbol_id,BITTREX_SPOT_ETC_BTC
asset_id_base,ETC
symbol_id,POLONIEX_SPOT_BCH_BTC
asset_id_base,BCH
symbol_id,BITTREX_SPOT_STRAT_BTC
asset_id_base,STRAT
symbol_id,HITBTC_SPOT_BTC_USDT
asset_id_base,BTC
symbol_id,BITHUMB_SPOT_XMR_KRW
asset_id_base,XMR
symbol_id,BINANCE_SPOT_LTC_USDT
asset_id_base,LTC
symbol_id,POLONIEX_SPOT_DGB_BTC
asset_id_base,DGB
symbol_id,BINANCE_SPOT_BNB_USDT
asset_id_base,BNB
symbol_id,BITTREX_SPOT_NXT_BTC
asset_id_base,NXT
symbol_id,HITBTC_SPOT_ETH_BTC
asset_id_base,ETH
symbol_id,BITTREX_SPOT_DGB_BTC
asset_id_base,DGB
symbol_id,EXMO_SPOT_BTC_USD
asset_id_base,BTC
symbol_id,POLONIEX_SPOT_LTC_USDT
asset_id_base,LTC
symbol_id,POLONIEX_SPOT_LSK_BTC
asset_id_base,LSK
symbol_id,KRAKEN_SPOT_XRP_BTC
asset_id_base,XRP
symbol_id,POLONIEX_SPOT_SC_BTC
asset_id_base,SC
symbol_id,POLONIEX_SPOT_BCH_USDT
asset_id_base,BCH
symbol_id,BINANCE_SPOT_IOTA_BTC
asset_id_base,IOTA
symbol_id,ACX_SPOT_BTC_AUD
asset_id_base,BTC
symbol_id,COINBASE_SPOT_LTC_BTC
asset_id_base,LTC
symbol_id,BITTREX_SPOT_QTUM_BTC
asset_id_base,QTUM
symbol_id,POLONIEX_SPOT_FCT_BTC
asset_id_base,FCT
symbol_id,BINANCE_SPOT_ETC_BTC
asset_id_base,ETC
symbol_id,BITFINEX_SPOT_NEO_USD
asset_id_base,NEO
symbol_id,BITFINEX_SPOT_XRP_BTC
asset_id_base,XRP
symbol_id,BITHUMB_SPOT_DASH_KRW
asset_id_base,DASH
symbol_id,KORBIT_SPOT_ETH_KRW
asset_id_base,ETH
symbol_id,GEMINI_SPOT_ETH_USD
asset_id_base,ETH
symbol_id,COINBASE_SPOT_BTC_GBP
asset_id_base,BTC
symbol_id,OKEX_SPOT_ETH_BTC
asset_id_base,ETH
symbol_id,POLONIEX_SPOT_STR_USDT
asset_id_base,STR
symbol_id,BITTREX_SPOT_LSK_BTC
asset_id_base,LSK
symbol_id,COINBASE_SPOT_ETH_EUR
asset_id_base,ETH
symbol_id,KORBIT_SPOT_XRP_KRW
asset_id_base,XRP
symbol_id,BITMEX_FTS_USD_USD_171229
asset_id_base,USD
symbol_id,KRAKEN_SPOT_XRP_USD
asset_id_base,XRP
symbol_id,BTCTRADE_SPOT_LTC_CNY
asset_id_base,LTC
symbol_id,POLONIEX_SPOT_DOGE_BTC
asset_id_base,DOGE
symbol_id,BINANCE_SPOT_BCC_BTC
asset_id_base,BCC
symbol_id,BITTREX_SPOT_VTC_BTC
asset_id_base,VTC
symbol_id,HITBTC_SPOT_ETH_USDT
asset_id_base,ETH
symbol_id,POLONIEX_SPOT_NXT_BTC
asset_id_base,NXT
symbol_id,BINANCE_SPOT_POE_BTC
asset_id_base,POE
symbol_id,OKEX_SPOT_BTC_USDT
asset_id_base,BTC
symbol_id,BITFINEX_SPOT_ETC_BTC
asset_id_base,ETC
symbol_id,BITTREX_SPOT_XEM_BTC
asset_id_base,XEM
symbol_id,BITTREX_SPOT_ZEC_BTC
asset_id_base,ZEC
symbol_id,HITBTC_SPOT_DASH_BTC
asset_id_base,DASH
symbol_id,BITMEX_FTS_USD_USD_180330
asset_id_base,USD
symbol_id,BITFINEX_SPOT_EOS_BTC
asset_id_base,EOS
symbol_id,BITTREX_SPOT_PAY_BTC
asset_id_base,PAY
symbol_id,KRAKEN_SPOT_LTC_BTC
asset_id_base,LTC
symbol_id,POLONIEX_SPOT_ETC_USDT
asset_id_base,ETC
symbol_id,BINANCE_SPOT_NANO_BTC
asset_id_base,NANO
symbol_id,BINANCE_SPOT_XVG_ETH
asset_id_base,XVG
symbol_id,BINANCE_SPOT_EOS_ETH
asset_id_base,EOS
symbol_id,COINBASE_SPOT_LTC_EUR
asset_id_base,LTC
symbol_id,KRAKEN_SPOT_LTC_USD
asset_id_base,LTC
symbol_id,BITTREX_SPOT_XMR_BTC
asset_id_base,XMR
symbol_id,BITTREX_SPOT_EMC2_BTC
asset_id_base,EMC2
symbol_id,POLONIEX_SPOT_STRAT_BTC
asset_id_base,STRAT
symbol_id,HITBTC_SPOT_ZEC_BTC
asset_id_base,ZEC
symbol_id,BITSTAMP_SPOT_ETH_USD
asset_id_base,ETH
symbol_id,BINANCE_SPOT_NEO_ETH
asset_id_base,NEO
symbol_id,EXMO_SPOT_ETH_USD
asset_id_base,ETH
symbol_id,BITTREX_SPOT_DASH_BTC
asset_id_base,DASH
symbol_id,KRAKEN_SPOT_BCH_EUR
asset_id_base,BCH
symbol_id,EXMO_SPOT_USD_RUB
asset_id_base,USD
symbol_id,BINANCE_SPOT_CND_BTC
asset_id_base,CND
symbol_id,POLONIEX_SPOT_STEEM_BTC
asset_id_base,STEEM
symbol_id,BITSTAMP_SPOT_XRP_EUR
asset_id_base,XRP
symbol_id,BITTREX_SPOT_WAVES_BTC
asset_id_base,WAVES
symbol_id,POLONIEX_SPOT_MAID_BTC
asset_id_base,MAID
symbol_id,KRAKEN_SPOT_ETC_EUR
asset_id_base,ETC
symbol_id,BITTREX_SPOT_SNT_BTC
asset_id_base,SNT
symbol_id,BINANCE_SPOT_VEN_ETH
asset_id_base,VEN
symbol_id,BITTREX_SPOT_RDD_BTC
asset_id_base,RDD
symbol_id,POLONIEX_SPOT_GNT_BTC
asset_id_base,GNT
symbol_id,BINANCE_SPOT_XLM_ETH
asset_id_base,XLM
symbol_id,BINANCE_SPOT_DGD_BTC
asset_id_base,DGD
symbol_id,BITTREX_SPOT_ARK_BTC
asset_id_base,ARK
symbol_id,EXMO_SPOT_BTC_RUB
asset_id_base,BTC
symbol_id,EXMO_SPOT_ETH_BTC
asset_id_base,ETH
symbol_id,BINANCE_SPOT_ADA_ETH
asset_id_base,ADA
symbol_id,HITBTC_SPOT_LTC_USDT
asset_id_base,LTC
symbol_id,BITFINEX_SPOT_ZEC_USD
asset_id_base,ZEC
symbol_id,HITBTC_SPOT_XMR_BTC
asset_id_base,XMR
symbol_id,BITFINEX_SPOT_DSH_USD
asset_id_base,DSH
symbol_id,BITTREX_SPOT_ETH_USDT
asset_id_base,ETH
symbol_id,ITBIT_SPOT_BTC_USD
asset_id_base,BTC
symbol_id,POLONIEX_SPOT_ZEC_USDT
asset_id_base,ZEC
symbol_id,BINANCE_SPOT_BNB_ETH
asset_id_base,BNB
symbol_id,BINANCE_SPOT_ICX_ETH
asset_id_base,ICX
symbol_id,OKEX_SPOT_LTC_BTC
asset_id_base,LTC
symbol_id,BITTREX_SPOT_ADX_BTC
asset_id_base,ADX
symbol_id,BITTREX_SPOT_CVC_BTC
asset_id_base,CVC
symbol_id,COINBASE_SPOT_BCH_USD
asset_id_base,BCH
symbol_id,HUOBIPRO_SPOT_BTC_USDT
asset_id_base,BTC
symbol_id,OKEX_SPOT_BCH_BTC
asset_id_base,BCH
symbol_id,BITFINEX_SPOT_XMR_USD
asset_id_base,XMR
symbol_id,BITTREX_SPOT_MCO_BTC
asset_id_base,MCO
symbol_id,BITTREX_SPOT_POWR_BTC
asset_id_base,POWR
symbol_id,KRAKEN_SPOT_XMR_EUR
asset_id_base,XMR
symbol_id,BITTREX_SPOT_GNT_BTC
asset_id_base,GNT
symbol_id,BITTREX_SPOT_DOGE_BTC
asset_id_base,DOGE
symbol_id,BITTREX_SPOT_SYS_BTC
asset_id_base,SYS
symbol_id,BITTREX_SPOT_BAT_BTC
asset_id_base,BAT
symbol_id,EXMO_SPOT_XRP_USD
asset_id_base,XRP
symbol_id,HITBTC_SPOT_BCN_BTC
asset_id_base,BCN
symbol_id,BITTREX_SPOT_STEEM_BTC
asset_id_base,STEEM
symbol_id,EXMO_SPOT_ETH_RUB
asset_id_base,ETH
symbol_id,BITSTAMP_SPOT_ETH_EUR
asset_id_base,ETH
symbol_id,POLONIEX_SPOT_VTC_BTC
asset_id_base,VTC
symbol_id,POLONIEX_SPOT_XMR_USDT
asset_id_base,XMR
symbol_id,HITBTC_SPOT_XRP_BTC
asset_id_base,XRP
symbol_id,BINANCE_SPOT_LTC_ETH
asset_id_base,LTC
symbol_id,BTCCHINA_SPOT_LTC_CNY
asset_id_base,LTC
symbol_id,BITTREX_SPOT_OK_BTC
asset_id_base,OK
symbol_id,HUOBIPRO_SPOT_ETH_USDT
asset_id_base,ETH
symbol_id,HITBTC_SPOT_LSK_BTC
asset_id_base,LSK
symbol_id,BITTREX_SPOT_BTG_BTC
asset_id_base,BTG
symbol_id,VIRWOX_SPOT_BTC_SLL
asset_id_base,BTC
symbol_id,POLONIEX_SPOT_EMC2_BTC
asset_id_base,EMC2
symbol_id,POLONIEX_SPOT_NXT_USDT
asset_id_base,NXT
symbol_id,BITTREX_SPOT_NEO_USDT
asset_id_base,NEO
symbol_id,BITTREX_SPOT_KMD_BTC
asset_id_base,KMD
